,name,iter,A,BA,ROC,MCC,F1,R,P
svc-8,Support Vector,8,0.8289205702647657,0.6936450839328537,0.6936450839328538,0.3679455131832299,0.6832063414034657,0.6936450839328537,0.6747835497835497
lr-9,Logistic Regression,9,0.7657841140529531,0.6787056841013676,0.6787056841013674,0.295104467572557,0.6348734197678554,0.6787056841013676,0.6218297101449275
dt-9,Decision Tree,9,0.745417515274949,0.627811264501912,0.6278112645019119,0.2134214488881927,0.5969516079250313,0.627811264501912,0.5890937019969278
rf-9,Random Forest,9,0.8105906313645621,0.6495074210901549,0.6495074210901548,0.2882320001349054,0.6437726723095526,0.6495074210901549,0.6389190003011141
xgb-9,XGBoost,9,0.8065173116089613,0.6526670555447533,0.6526670555447535,0.2887265575870712,0.6435421872731303,0.6526670555447533,0.6365111561866126
gnb-9,Gaussian Naive Bayes,9,0.7535641547861507,0.6603960075183096,0.6603960075183096,0.2634583015439146,0.6187129774029791,0.6603960075183096,0.6081857923497268
bnb-9,Bernoulli Naive Bayes,9,0.7657841140529531,0.6842634000907382,0.6842634000907383,0.3026616633152235,0.6376197719119223,0.6842634000907382,0.6242841530054645
svc-9,Support Vector,9,0.7983706720977597,0.6756594724220624,0.6756594724220624,0.3132743418500369,0.6526861821845281,0.6756594724220624,0.6396748093176665
lr-10,Logistic Regression,10,0.7759674134419552,0.734720331842634,0.7347203318426339,0.3753020725959248,0.6668517147791758,0.734720331842634,0.6500207125103563
dt-10,Decision Tree,10,0.780040733197556,0.6704258215049581,0.6704258215049582,0.2924761442336721,0.6388525661981039,0.6704258215049581,0.6254831782390837
rf-10,Random Forest,10,0.8228105906313645,0.7233942575669194,0.7233942575669194,0.3984054377904675,0.6947848267682216,0.7233942575669194,0.6776309008451866
xgb-10,XGBoost,10,0.814663951120163,0.7297135264761164,0.7297135264761164,0.3981465446184645,0.6918147895241445,0.7297135264761164,0.672519957165109
gnb-10,Gaussian Naive Bayes,10,0.8329938900203666,0.6515814375526605,0.6515814375526606,0.3179753629292,0.6584492704445198,0.6515814375526605,0.6667557932263815
bnb-10,Bernoulli Naive Bayes,10,0.780040733197556,0.6926566854624409,0.6926566854624409,0.3226283653421434,0.6503955696202532,0.6926566854624409,0.635070659335666
svc-10,Support Vector,10,0.814663951120163,0.6963672305398924,0.6963672305398924,0.3556915127674667,0.6748036711136342,0.6963672305398924,0.6610712387028177
lr-11,Logistic Regression,11,0.7922606924643585,0.7109663620454987,0.7109663620454987,0.3553713960657487,0.6671850079744817,0.7109663620454987,0.6496551724137931
dt-11,Decision Tree,11,0.7576374745417516,0.6238900771274872,0.6238900771274872,0.2133071808316356,0.6003953028717591,0.6238900771274872,0.5918151688361593
rf-11,Random Forest,11,0.8391038696537678,0.7107557197485255,0.7107557197485255,0.402368640040614,0.700528855433314,0.7107557197485255,0.6920476021733994
xgb-11,XGBoost,11,0.824847250509165,0.685689286408711,0.6856892864087109,0.3528286822090047,0.6756636352464054,0.685689286408711,0.6676026676026676
